company,title,location,salary,description
(주)댄디테크앤리얼티,"파이썬 개발자 경력직 모집, AI vision 경험자 우대",서울 마포구,급성장중,"Python, 딥러닝, 솔루션, 신경망, 컴퓨터비전 외                    수정일 24/12/01"
링크루트,[유망 스타트업] [경력] 백엔드 개발자 채용 (파이썬),서울 관악구,재택근무,"Python, AWS, 백엔드/서버개발, 프론트엔드, Django 외                    등록일 24/10/21"
(주)세종교육,파이썬 개발자 과정 강사 채용,경기 성남시,취업축하금,"보조강사, 파트강사, 학원강사, 학원보조, IT강사 외                    수정일 24/12/10"
동원컴퓨터학원,"전산회계/세무2급, 파이썬(코딩), 오토캐드 강사 모집",경남 김해시,,"파트강사, 훈련교사, IT강사, 전산회계, 코딩 외                    등록일 24/12/04"
더조은컴퓨터아카데미종로,"[NCS 훈련교사] 빅데이터(파이썬)엘러스틱서치,자바웹 전문강사",서울 종로구,,"직업훈련, 컴퓨터교육, 훈련교사, IT학원 등록일 24/11/15"
캐논코리아 주식회사,2024년 12월 캐논코리아 신입사원(채용연계형인턴)모집,서울 강남구,디자인 지원 TOP100,"Python, C++, Java, 솔루션, Linux 외                    수정일 24/12/05"
(주)우진플라임,㈜우진플라임 부문별 인재채용,충북 보은군,구매·자재·물류 지원 TOP100,"Python, C++, Java, 웹개발, 게임개발 외                    수정일 24/12/13"
(주)위즈코리아,㈜위즈코리아/㈜위즈COK '24년 하반기 신입/경력 사원 모집,서울 강서구,미디어·문화·스포츠 지원 TOP100,"Python, C++, Java, 솔루션, Linux 외                    수정일 24/11/20"
디아이티(주),2024년 하반기 각 부문별 신입/경력 채용,경기 화성시,건설·건축 지원 TOP100,"Python, C++, Java, 딥러닝, 머신러닝 외                    수정일 24/12/11"
엔에이치농협캐피탈(주),2025년 NH농협캐피탈 신규직원[신입·경력] 채용,전국,금융·보험 지원 TOP100,"Python, C++, Java, 웹개발, 데이터분석가 외                    수정일 24/12/05"
메리츠화재해상보험(주),2024년 메리츠화재 하반기 각 부문별 신입/경력 채용,서울전체,디자인 지원 TOP100,"Python, Java, Linux, SE(시스템엔지니어), STT 외                    수정일 24/12/05"
(주)현대퓨처넷,현대퓨처넷 2025년 상반기 각 부문 채용,서울 강남구,총무·법무·사무 지원 TOP100,"Python, C++, Java, AWS, Linux 외                    수정일 24/12/12"
제닉스(주),제닉스(주) 각 부문별 채용,충남 천안시 서북구,건설·건축 지원 TOP100,"Python, C++, Java, Linux, 기술지원 외                    수정일 24/12/10"
앰코테크놀로지코리아㈜,2024년 하반기 신입/경력사원 공채,인천 연수구,구매·자재·물류 스크랩 TOP100,"Python, Java, Linux, 데이터엔지니어, 앱개발 외                    수정일 24/12/12"
(주)영신디엔씨,㈜영신디엔씨 각 부문 신입 및 경력 채용,서울 서초구,IT개발·데이터 스크랩 TOP100,"Python, Java, H/W, S/W, CSS 외                    수정일 24/12/09"
(주)비상교육,[주 3일 원격근무] 비상교육 전체직무 상시채용,경기 과천시,디자인 지원 TOP100,"Python, Java, AWS, Linux, 백엔드/서버개발 외                    수정일 24/12/02"
청오디피케이(주),도미노피자 각 부문(자회사 포함) 공개 채용,서울 강남구,건설·건축 조회 TOP100,"Python, Java, AWS, Linux, 빅데이터 외                    수정일 24/12/04"
(주)케이엘넷,각 부문 신입/경력 채용공고,서울 강남구,상품기획·MD 지원 TOP100,"Python, Java, 빅데이터, 웹개발, 데이터분석가 외                    수정일 24/12/13"
(주)미래엔,각 부문 경력사원 채용,서울 서초구,상품기획·MD 지원 TOP100,"Python, Java, 솔루션, AWS, Linux 외                    수정일 24/12/11"
(주)DB하이텍,[DB하이텍 & DB글로벌칩] 경력사원 공개채용 (12월),경기 부천시,기획·전략 지원 TOP100,"Python, C++, Java, 머신러닝, 빅데이터 외                    수정일 24/12/13"
코리안리재보험(주),코리안리재보험㈜ 2025 상반기 경력직 채용,서울 종로구,금융·보험 조회 TOP100,"Python, AWS, 기술지원, 유지보수, 정보보안 외                    수정일 24/12/12"
한국전자기술연구원,한국전자기술연구원 전문계약직 연구원 채용 공고,경기 성남시 분당구,생산 스크랩 TOP100,"Python, C++, Java, 딥러닝, 머신러닝 외                    수정일 24/12/11"
(주)원익로보틱스,전 부문 채용,경기 성남시 분당구,인사·노무·HRD 조회 TOP100,"Python, C++, 솔루션, 백엔드/서버개발, SE(시스템엔지니어) 외                    수정일 24/12/12"
(주)티엑스알로보틱스,2024년 하반기 상시채용 모집,경기 부천시,상품기획·MD 조회 TOP100,"Python, C++, Java, 딥러닝, 솔루션 외                    수정일 24/12/11"
(주)아이센스,㈜아이센스 2024년 신입/경력 수시채용,서울 서초구,인사·노무·HRD 지원 TOP100,"Python, Java, 유지보수, 데이터라벨링, ERP 외                    수정일 24/12/04"
(주)NE능률,2024년 12월 NE능률 신입 및 경력(수시) 채용,서울 마포구,교육 지원 급상승,"Python, Java, 솔루션, Linux, 백엔드/서버개발 외                    수정일 24/12/01"
(주)비엔케이시스템,2025년도 상반기 신입직원 채용공고,부산 강서구,IT개발·데이터 지원 TOP100,"Python, C++, Java, 솔루션, AWS 외                    수정일 24/12/03"
이에이트(주),[코스닥 상장사] 이에이트 신입 및 경력 채용,서울 송파구,금융·보험 지원 TOP100,"Python, C++, Java, 딥러닝, 솔루션 외                    수정일 24/11/25"
롯데손해보험(주),신입사원 채용공고,서울 중구,마케팅·홍보·조사 지원 TOP100,"Python, 머신러닝, 데이터엔지니어, 백엔드/서버개발, 앱개발 외                    수정일 24/12/12"
(주)라이프스타일프로젝트,LSP 하반기 신입/경력 채용,서울 강남구,상품기획·MD 지원 TOP100,"Python, 웹개발, 앱개발, 프론트엔드, SI개발 외                    수정일 24/11/19"
(주)디알텍,2024년 신입 및 경력 채용,경기 성남시 분당구,건설·건축 스크랩 TOP100,"C++, 머신러닝, Linux, 유지보수, 퍼블리셔 외                    수정일 24/12/06"
